,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
90931,46070,Isabelle Hrle,F,28.0,175.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water,
90967,46091,Christa Deanne Harmotto-Dietzen,F,29.0,188.0,79.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
90986,46103,Phannapa Harnsujin,F,18.0,172.0,57.0,Thailand,THA,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Featherweight,
90999,46106,Luca Haro,F,29.0,178.0,71.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,
91006,46110,Abdalelah Haroun Hassan,M,19.0,185.0,80.0,Qatar,QAT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,
91041,46126,Benn Harradine,M,33.0,198.0,115.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,
91060,46140,Tahesia Gaynell Harrigan-Scott,F,34.0,158.0,56.0,British Virgin Islands,IVB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,
91066,46145,Pdraig Peter  Harrington,M,44.0,186.0,83.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Men's Individual,
91078,46155,"Christopher ""Chris"" Harris",M,30.0,187.0,89.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,
91096,46168,Giordan Harris,M,23.0,185.0,99.0,Marshall Islands,MHL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
91112,46179,Nikki Louise Harris (-Brammeier),F,29.0,176.0,60.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",
91143,46197,Charlotte Harrison,F,27.0,167.0,55.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
91162,46207,Kayla Harrison,F,26.0,173.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Heavyweight,Gold
91194,46226,Ruby Esther Harrold,F,20.0,162.0,56.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,
91195,46226,Ruby Esther Harrold,F,20.0,162.0,56.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,
91196,46226,Ruby Esther Harrold,F,20.0,162.0,56.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,
91228,46244,Karl Axel Hrstedt,M,29.0,197.0,135.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,
91246,46255,Nathan Hart,M,23.0,180.0,90.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,
91252,46259,Shavez Hart,M,23.0,,,Bahamas,BAH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,
91253,46259,Shavez Hart,M,23.0,,,Bahamas,BAH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,
91258,46262,Conor Harte,M,28.0,196.0,93.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,
91259,46263,David Harte,M,28.0,195.0,94.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,
91264,46266,"Michael ""Mike"" Hartfield",M,26.0,191.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,
91278,46275,Christoph Harting,M,26.0,207.0,120.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,Gold
91282,46277,Robert Harting,M,31.0,201.0,126.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,
91298,46283,Bridgitte Ellen Hartley,F,33.0,174.0,65.0,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",
91299,46283,Bridgitte Ellen Hartley,F,33.0,174.0,65.0,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",
91316,46294,"Alexander ""Alex"" Hartmann",M,23.0,198.0,91.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,
91333,46306,Kerstin Hartmann,F,28.0,177.0,70.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxless Pairs,
91368,46324,Max Hartung,M,26.0,189.0,86.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",
91415,46344,Artem Harutyunyan,M,25.0,172.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,Bronze
91417,46346,Lilit Harutyunyan,F,23.0,164.0,55.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,
91438,46353,Eleanor Harvey,F,21.0,172.0,56.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",
91450,46356,Jak Ali (Jacques Montgomery-) Harvey,M,27.0,183.0,73.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,
91451,46356,Jak Ali (Jacques Montgomery-) Harvey,M,27.0,183.0,73.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,
91452,46356,Jak Ali (Jacques Montgomery-) Harvey,M,27.0,183.0,73.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,
91533,46397,Daigo Hasegawa,M,26.0,173.0,58.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,
91534,46398,Junya Hasegawa,M,22.0,180.0,70.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,
91540,46403,Suzuka Hasegawa,F,16.0,165.0,56.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,
91590,46423,Mohamed Alaa Hashem,M,28.0,180.0,92.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,
91591,46424,Ali Hashemi,M,24.0,178.0,93.0,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,
91746,46491,Margret Hassan,F,18.0,160.0,55.0,South Sudan,SSD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,
91752,46496,Omar Hassan,M,25.0,191.0,104.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
91760,46501,Sifan Hassan,F,23.0,170.0,49.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,
91761,46501,Sifan Hassan,F,23.0,170.0,49.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 1,500 metres",
91773,46511,Dara Tamer Mahmoud Hassanien,F,20.0,169.0,59.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,
91774,46511,Dara Tamer Mahmoud Hassanien,F,20.0,169.0,59.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,
91792,46523,Betsy Doon Hassett,F,25.0,157.0,55.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
91808,46530,Julia Hassler,F,23.0,177.0,73.0,Liechtenstein,LIE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,
91823,46542,Natasha Monique Hastings,F,30.0,173.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,
91824,46542,Natasha Monique Hastings,F,30.0,173.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
91826,46543,Amy Elizabeth Hastings-Cragg,F,32.0,163.0,45.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
91859,46553,Airi Hatakeyama,F,21.0,170.0,49.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,
91893,46570,Alan Hatherly,M,20.0,178.0,62.0,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",
91920,46582,Hanna Volodymyrivna Hatsko-Fedusova,F,25.0,175.0,75.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,
91934,46589,Camilla Hattersley,F,21.0,174.0,59.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,
91935,46589,Camilla Hattersley,F,21.0,174.0,59.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
92008,46621,Anne Haug,F,33.0,164.0,51.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,
92037,46637,Siobhn Bernadette Haughey,F,18.0,177.0,64.0,Hong Kong,HKG,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,
92056,46645,Franzisca Hauke,F,26.0,172.0,63.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Bronze
92062,46647,Tobias Constantin Hauke,M,28.0,183.0,81.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Bronze
92063,46648,Hvard Haukenes,M,26.0,180.0,68.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,
92117,46666,Patrick Hausding,M,27.0,180.0,77.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,Bronze
92118,46666,Patrick Hausding,M,27.0,180.0,77.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,
92119,46666,Patrick Hausding,M,27.0,180.0,77.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,
92145,46679,Julia Hauser,F,22.0,163.0,48.0,Austria,AUT,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,
